0,0,1,2,3,4
1,1,"('a', ('a', 'b'))",softsign,sub,9.815705128205128
2,2,"('b', ('a', 'b'))",elu,sub,9.815705128205128
3,3,"('a', ('a', ('a', 'b')))",elu,sub,9.815705128205128
4,4,"('a', ('a', ('a', ('a', 'b'))))",sigmoid,sub,9.815705128205128
5,5,"(('a', 'b'), ('b', ('a', 'b')))",sigmoid,add,9.815705128205128
0,0,"('a', 'b')",elu,sub,87.90064102564102
1,1,"('a', ('a', 'b'))",elu,div,87.90064102564102
2,2,"('a', ('a', ('a', 'b')))",sigmoid,add,87.90064102564102
3,3,"('b', ('a', ('a', 'b')))",sigmoid,add,87.90064102564102
4,4,"('b', ('a', ('a', ('a', 'b'))))",softsign,sub,87.90064102564102
5,5,"('b', ('a', 'b'))",elu,sub,87.90064102564102
0,0,"('a', 'b')",softsign,add,9.775641025641026
1,1,"('b', ('a', 'b'))",sigmoid,sub,9.775641025641026
2,2,"(('a', 'b'), ('b', ('a', 'b')))",sigmoid,div,9.775641025641026
3,3,"(('a', 'b'), (('a', 'b'), ('b', ('a', 'b'))))",softsign,div,9.775641025641026
4,4,"(('b', ('a', 'b')), (('a', 'b'), (('a', 'b'), ('b', ('a', 'b')))))",sigmoid,mul,9.775641025641026
5,5,"((('a', 'b'), ('b', ('a', 'b'))), (('b', ('a', 'b')), (('a', 'b'), (('a', 'b'), ('b', ('a', 'b'))))))",sigmoid,mul,9.775641025641026
0,0,"('a', 'b')",sigmoid,div,9.805689102564102
1,1,"('b', ('a', 'b'))",softsign,sub,9.805689102564102
2,2,"('a', ('a', 'b'))",sigmoid,sub,9.805689102564102
3,3,"('b', ('a', ('a', 'b')))",softsign,sub,9.805689102564102
4,4,"('a', ('a', ('a', 'b')))",elu,div,9.805689102564102
5,5,"(('a', 'b'), ('a', ('a', 'b')))",softsign,mul,9.805689102564102
0,0,"('a', 'b')",sigmoid,add,86.95913461538461
1,1,"('a', ('a', 'b'))",sigmoid,sub,86.95913461538461
2,2,"('b', ('a', 'b'))",elu,sub,86.95913461538461
